mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,name,note,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features
46,gtfs,,US,California,Bakersfield,Golden Empire Transit District (GET),,,,http://eta.getbus.org/rtt/public/utility/gtfs.aspx,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-golden-empire-transit-district-get-gtfs-46.zip?alt=media,,34.976628,35.447091,-119.145718,-118.91409,2022-03-14T20:08:13+00:00,,fares-v1
47,gtfs,,US,California,Bakersfield,Kern Transit,,,,http://data.trilliumtransit.com/gtfs/kerncounty-ca-us/kerncounty-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-kern-transit-gtfs-47.zip?alt=media,,34.41367413,35.77525384,-119.694137,-117.6462533,2022-03-14T20:08:17+00:00,,fares-v1|fares-v2
48,gtfs,,US,California,Tulare,Porterville Transit,,,,http://data.trilliumtransit.com/gtfs/porterville-ca-us/porterville-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-porterville-transit-gtfs-48.zip?alt=media,,36.027009,36.098346,-119.079056,-118.7760294,2022-03-14T20:08:20+00:00,,fares-v1|fares-v2
49,gtfs,,US,California,San Mateo,San Mateo County Transit District (samTrans),,,,http://www.samtrans.com/Assets/GTFS/samtrans/ST-GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-mateo-county-transit-district-samtrans-gtfs-49.zip?alt=media,http://www.samtrans.com/Developer.html,37.250304,37.795815,-122.51796,-122.129824,2022-03-14T20:08:32+00:00,,fares-v1
50,gtfs,,US,California,San Francisco,"San Francisco Municipal Transportation Agency (SFMTA, Muni)",,,,https://gtfs.sfmta.com/transitdata/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-francisco-municipal-transportation-agency-sfmta-gtfs-50.zip?alt=media,http://www.sfmta.com/about-sfmta/reports/gtfs-transit-data,37.702085,37.829848,-122.510792,-122.365593,2022-03-14T20:08:44+00:00,,fares-v1
51,gtfs,,US,California,San Francisco,Mission Bay Transportation Management Association (TMA),,,,http://data.trilliumtransit.com/gtfs/missionbaytma-ca-us/missionbaytma-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-mission-bay-transportation-management-association-tma-gtfs-51.zip?alt=media,,37.76691031,37.79199015,-122.416028,-122.3862399,2022-03-14T20:08:46+00:00,,fares-v2|fares-v1
52,gtfs,,US,California,San Francisco,Tideline Water Taxi,,,,http://trilliumtransit.com/transit_feeds/tidelinewatertaxi-ca-us/tidelinewatertaxi-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-tideline-water-taxi-gtfs-52.zip?alt=media,,37.7708398,37.913659,-122.3950251,-122.3139318,2022-03-14T20:08:47+00:00,,
53,gtfs,,US,California,San Francisco,Bay Area Rapid Transit (BART),,,,http://www.bart.gov/dev/schedules/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-bay-area-rapid-transit-bart-gtfs-53.zip?alt=media,http://www.bart.gov/schedules/developers/developer-license-agreement,37.368473,38.01891,-122.468908,-121.780346,2022-03-14T20:08:49+00:00,,fares-v1
54,gtfs,,US,California,San Francisco,Caltrain,,,,http://data.trilliumtransit.com/gtfs/caltrain-ca-us/caltrain-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-caltrain-gtfs-54.zip?alt=media,,37.003485,37.776404,-122.4117091,-121.566088,2022-03-14T20:08:51+00:00,,fares-v1
55,gtfs,,US,California,Modesto,Modesto Area Express,,,,https://www.modestoareaexpress.com/preview-gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-modesto-area-express-gtfs-55.zip?alt=media,,37.580162,37.954866,-121.8989612,-120.9133,2022-03-14T20:08:53+00:00,,
56,gtfs,,US,California,Monterey,Monterey-Salinas Transit (MST),,,,https://www.mst.org/google/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-montereysalinas-transit-mst-gtfs-56.zip?alt=media,https://mst.org/about-mst/developer-resources/,35.615187,36.909498,-121.936046,-120.680343,2022-03-14T20:08:57+00:00,,fares-v1
57,gtfs,,US,California,San Jose,Santa Clara Valley Transportation Authority (VTA),,,,https://gtfs.vta.org/gtfs_vta.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-santa-clara-valley-transportation-authority-vta-gtfs-57.zip?alt=media,,36.974922,37.458086,-122.173639,-121.549029,2022-03-14T20:09:03+00:00,,fares-v1
58,gtfs,,US,California,Hollister,San Benito County Express (SBCE),,,,http://data.trilliumtransit.com/gtfs/sanbenitocounty-ca-us/sanbenitocounty-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-benito-county-express-sbce-gtfs-58.zip?alt=media,,36.828106,37.004068,-121.5706891,-121.366669,2022-03-14T20:09:05+00:00,,fares-v1|fares-v2
59,gtfs,,US,California,Stanford,Stanford Marguerite Shuttle (SMS),,,,https://transportation-forms.stanford.edu/google/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-stanford-marguerite-shuttle-sms-gtfs-59.zip?alt=media,,37.39404,37.589874,-122.2308883,-121.975618,2022-03-14T20:09:08+00:00,,fares-v1
60,gtfs,,US,California,Mountain View,Mountain View Transportation Management Association (MVgo),,,,http://data.trilliumtransit.com/gtfs/mountainview-ca-us/mountainview-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-mountain-view-transportation-management-association-gtfs-60.zip?alt=media,,37.38765551,37.4314289,-122.1115913,-122.0475837,2022-03-14T20:09:13+00:00,,fares-v1
61,gtfs,,US,California,San Mateo,Commute.org San Mateo County Shuttles,,,,http://data.trilliumtransit.com/gtfs/commute-ca-us/commute-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-commuteorg-san-mateo-county-shuttles-gtfs-61.zip?alt=media,,37.423779,37.72114959,-122.4692733,-122.142022,2022-03-14T20:09:16+00:00,,fares-v1
62,gtfs,,US,California,San Francisco,San Francisco Bay Area Water Emergency Transportation Authority (WETA),,,,http://data.trilliumtransit.com/gtfs/sfbayferry-ca-us/sfbayferry-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-francisco-bay-area-water-emergency-transportation-authority-gtfs-62.zip?alt=media,http://assets.511.org/pdf/nextgen/developers/511_Data_Agreement_Final.pdf,37.662676,38.10127,-122.41209,-122.25692,2022-03-14T20:09:17+00:00,,fares-v1|pathways
63,gtfs,,US,California,Emeryville,Emery Go-Round,,,,http://data.trilliumtransit.com/gtfs/emerygoround-ca-us/emerygoround-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-emery-goround-gtfs-63.zip?alt=media,,37.8294133,37.85231743,-122.3134414,-122.2667105,2022-03-14T20:09:20+00:00,,fares-v1
64,gtfs,,US,California,Livermore,Livermore Amador Valley Transit Authority,,,,http://webwatch.lavta.org/TMGTFSRealTimeWebService/GTFS-Static/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-livermore-amador-valley-transit-authority-gtfs-64.zip?alt=media,,37.631448,37.732502,-121.98229,-121.717493,2022-03-14T20:09:22+00:00,,fares-v1
65,gtfs,,US,California,Escalon,eTrans,,,,http://data.trilliumtransit.com/gtfs/escalon-ca-us/escalon-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-etrans-gtfs-65.zip?alt=media,,37.685265,37.80286,-121.2158543,-120.98274,2022-03-14T20:09:23+00:00,,fares-v1
66,gtfs,,US,California,San Mateo,Sonoma County Airport Express,,,,http://data.trilliumtransit.com/gtfs/airportexpressinc-ca-us/airportexpressinc-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-sonoma-county-airport-express-gtfs-66.zip?alt=media,,37.615612,38.51009973,-122.8053383,-122.212134,2022-03-14T20:09:25+00:00,,fares-v1
67,gtfs,,US,California,San Francisco,Golden Gate Transit,,,,https://realtime.goldengate.org/gtfsstatic/GTFSTransitData.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-golden-gate-transit-gtfs-67.zip?alt=media,,37.777609,38.472081,-122.740448,-122.26649,2022-03-14T20:10:29+00:00,,
68,gtfs,,US,California,,Lake Transit Authority (LTA),,,,http://data.trilliumtransit.com/gtfs/laketransit-ca-us/laketransit-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-lake-transit-authority-lta-gtfs-68.zip?alt=media,,38.542878,39.1896831,-123.2264562,-122.475567,2022-03-14T20:10:32+00:00,,fares-v1|fares-v2
69,gtfs,,US,California,Ukiah,Mendocino Transit Authority,,,,http://data.trilliumtransit.com/gtfs/mendocino-ca-us/mendocino-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-mendocino-transit-authority-gtfs-69.zip?alt=media,,38.3242,39.45186,-123.816132,-122.713719,2022-03-14T20:10:36+00:00,,fares-v1|fares-v2
